user_loc,fr_loc,scaled_sci
USA01025,ARG9,8
USA01025,MEX1,87
USA01025,MEX10,17
USA01025,MEX11,51
USA01025,MEX12,36
USA01025,MEX13,32
USA01025,MEX14,75
USA01025,MEX15,35
USA01025,MEX16,384
USA01025,MEX17,19
USA01025,MEX18,25
USA01025,MEX19,32
USA01025,MEX2,24
USA01025,MEX20,23
USA01025,MEX21,26
USA01025,MEX22,53
USA01025,MEX23,58
USA01025,MEX24,88
USA01025,MEX25,12
USA01025,MEX26,21
USA01025,MEX27,18
USA01025,MEX28,21
USA01025,MEX29,103
USA01025,MEX3,36
USA01025,MEX30,126
USA01025,MEX31,14
USA01025,MEX32,14
USA01025,MEX4,19
USA01025,MEX5,169
USA01025,MEX6,31
USA01025,MEX7,131
USA01025,MEX8,27
USA01025,MEX9,27
USA01027,ARG1,13
USA01027,ARG10,5
USA01027,ARG11,25
USA01027,ARG12,11
USA01027,ARG13,9
USA01027,ARG14,13
USA01027,ARG15,10
USA01027,ARG16,13
USA01027,ARG17,7
USA01027,ARG18,5
USA01027,ARG19,12
USA01027,ARG2,11
USA01027,ARG20,8
USA01027,ARG21,8
USA01027,ARG22,6
USA01027,ARG23,22
USA01027,ARG24,9
USA01027,ARG3,7
USA01027,ARG4,9
USA01027,ARG5,13
USA01027,ARG6,22
USA01027,ARG7,9
USA01027,ARG8,9
USA01027,ARG9,10
USA01027,MEX1,59
USA01027,MEX10,113
USA01027,MEX11,109
USA01027,MEX12,111
USA01027,MEX13,119
USA01027,MEX14,49
USA01027,MEX15,46
USA01027,MEX16,104
USA01027,MEX17,36
USA01027,MEX18,117
USA01027,MEX19,74
USA01027,MEX2,43
USA01027,MEX20,542
USA01027,MEX21,29
USA01027,MEX22,83
USA01027,MEX23,78
USA01027,MEX24,384
USA01027,MEX25,155
USA01027,MEX26,66
USA01027,MEX27,23
USA01027,MEX28,98
USA01027,MEX29,20
USA01027,MEX3,68
USA01027,MEX30,113
USA01027,MEX31,154
USA01027,MEX32,473
USA01027,MEX4,31
USA01027,MEX5,149
USA01027,MEX6,36
USA01027,MEX7,149
USA01027,MEX8,16
USA01027,MEX9,39
USA01029,ARG1,8
USA01029,ARG10,7
USA01029,ARG11,5
USA01029,ARG12,9
USA01029,ARG13,8
USA01029,ARG14,8
USA01029,ARG15,9
USA01029,ARG16,4
USA01029,ARG17,6
USA01029,ARG18,9
USA01029,ARG19,4
USA01029,ARG2,6
USA01029,ARG20,8
USA01029,ARG21,9
USA01029,ARG22,2
USA01029,ARG23,3
USA01029,ARG24,5
USA01029,ARG3,6
USA01029,ARG4,10
USA01029,ARG5,5
USA01029,ARG6,16
USA01029,ARG7,8
USA01029,ARG8,6
USA01029,ARG9,9
USA01029,MEX1,156
USA01029,MEX10,27
USA01029,MEX11,162
